epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6613,1.56035,3.7552,1.34273,0.00327,0.91228,0.61056,0.29777,1.37645,3.8406,1.09735,0.00028,0.00028,0.00028
2,35.8379,1.49419,2.45019,1.25382,0.00327,0.91228,0.47717,0.23644,1.33984,3.81328,1.13262,0.000576172,0.000576172,0.000576172
3,53.7818,1.45889,2.13329,1.21121,0.00314,0.87719,0.15469,0.06672,1.51946,3.85861,1.28788,0.000868384,0.000868384,0.000868384
4,72.0631,1.51594,2.09397,1.2829,0.43398,0.10526,0.19557,0.09263,1.49462,3.6314,1.32887,0.00115664,0.00115664,0.00115664
5,88.5096,1.52683,2.02077,1.33469,0.6137,0.4386,0.51888,0.25131,1.62352,3.15901,1.48662,0.00144093,0.00144093,0.00144093
6,104.752,1.50209,1.93207,1.32595,0.62449,0.38596,0.45655,0.20294,1.77449,3.27381,1.65304,0.00172126,0.00172126,0.00172126
7,122.234,1.57262,1.81144,1.33916,0.01206,0.26316,0.00984,0.00458,1.8437,6.20614,1.62465,0.0019208,0.0019208,0.0019208
8,135.929,1.50678,1.73045,1.2682,0.77446,0.50877,0.58821,0.3049,1.77876,2.86466,1.53979,0.0019076,0.0019076,0.0019076
9,152.239,1.51643,1.59998,1.29213,0.69273,0.51428,0.62355,0.32233,1.63801,2.74971,1.49894,0.0018944,0.0018944,0.0018944
10,168.365,1.49928,1.52004,1.28403,0.8519,0.70175,0.75925,0.37261,1.67642,2.6951,1.41825,0.0018812,0.0018812,0.0018812
11,183.292,1.48909,1.48631,1.30206,0.76339,0.70175,0.79019,0.42663,1.52385,2.66174,1.51427,0.001868,0.001868,0.001868
12,196.793,1.47041,1.42451,1.2891,0.48944,0.4386,0.45174,0.24427,1.69374,2.57131,1.60473,0.0018548,0.0018548,0.0018548
13,212.836,1.46559,1.38654,1.32758,0.43981,0.52632,0.49245,0.22749,1.70993,2.1853,1.53503,0.0018416,0.0018416,0.0018416
14,230.502,1.45211,1.34928,1.28256,0.82226,0.73684,0.85108,0.43526,1.56402,1.57419,1.41277,0.0018284,0.0018284,0.0018284
15,245.445,1.37381,1.24957,1.2401,0.6664,0.61404,0.65482,0.3502,1.60945,2.26021,1.41258,0.0018152,0.0018152,0.0018152
16,259.643,1.40351,1.20011,1.25078,0.77842,0.64912,0.74085,0.36092,1.74442,2.30327,1.44445,0.001802,0.001802,0.001802
17,274.917,1.45589,1.19251,1.29302,0.80037,0.77193,0.81536,0.42091,1.60721,1.35747,1.43178,0.0017888,0.0017888,0.0017888
18,291.5,1.44959,1.17295,1.27561,0.70561,0.75694,0.76054,0.36778,1.73466,1.55156,1.43787,0.0017756,0.0017756,0.0017756
19,306.143,1.47072,1.12683,1.2717,0.80699,0.80687,0.83385,0.4337,1.62543,1.45452,1.3774,0.0017624,0.0017624,0.0017624
20,320.258,1.44572,1.10007,1.25662,0.74703,0.88079,0.82073,0.43461,1.57311,1.33675,1.35312,0.0017492,0.0017492,0.0017492
21,335.762,1.37975,1.05978,1.23518,0.79891,0.77193,0.82132,0.41112,1.55175,1.4374,1.39825,0.001736,0.001736,0.001736
22,352.006,1.3593,1.03234,1.21278,0.81956,0.78947,0.87674,0.47211,1.5887,1.18083,1.43019,0.0017228,0.0017228,0.0017228
23,367.09,1.35227,1.02284,1.20272,0.86041,0.78947,0.86051,0.42053,1.7083,1.19707,1.55285,0.0017096,0.0017096,0.0017096
24,380.618,1.33778,1.03358,1.21556,0.885,0.77193,0.87908,0.48776,1.52437,1.10788,1.36942,0.0016964,0.0016964,0.0016964
25,397.987,1.27745,0.9751,1.15448,0.82735,0.84073,0.86644,0.43585,1.67531,1.13893,1.47479,0.0016832,0.0016832,0.0016832
26,413.266,1.35839,0.98713,1.20113,0.84644,0.87037,0.87657,0.4466,1.59288,1.2158,1.44143,0.00167,0.00167,0.00167
27,428.204,1.31181,0.93728,1.19516,0.90192,0.80662,0.86343,0.47143,1.60829,1.02901,1.40913,0.0016568,0.0016568,0.0016568
28,441.763,1.33725,0.95567,1.22357,0.87968,0.7696,0.83396,0.42457,1.63769,1.10115,1.38539,0.0016436,0.0016436,0.0016436
29,457.126,1.2883,0.91841,1.17688,0.91753,0.78088,0.86499,0.41381,1.7621,1.07225,1.49508,0.0016304,0.0016304,0.0016304
30,471.656,1.38488,0.95807,1.21088,0.79833,0.83348,0.87605,0.4536,1.60512,1.07265,1.40846,0.0016172,0.0016172,0.0016172
31,486.547,1.2944,0.91801,1.1754,0.86296,0.82456,0.89471,0.44716,1.56506,0.99205,1.37319,0.001604,0.001604,0.001604
32,500.373,1.29436,0.88033,1.19969,0.83616,0.80584,0.85531,0.41818,1.65618,1.04939,1.38502,0.0015908,0.0015908,0.0015908
33,516.301,1.26039,0.87617,1.19484,0.89022,0.84211,0.90922,0.45744,1.56554,1.03445,1.40777,0.0015776,0.0015776,0.0015776
34,532.542,1.24818,0.83209,1.13676,0.80893,0.80702,0.85271,0.38066,1.6391,1.08958,1.44623,0.0015644,0.0015644,0.0015644
35,547.39,1.27002,0.84504,1.15666,0.86653,0.80702,0.87648,0.40858,1.72116,0.97908,1.53448,0.0015512,0.0015512,0.0015512
36,560.77,1.26456,0.8573,1.16355,0.86191,0.87602,0.89777,0.42743,1.53601,1.00418,1.41842,0.001538,0.001538,0.001538
37,576.447,1.23248,0.83434,1.1357,0.81886,0.79313,0.85004,0.39616,1.5407,1.06717,1.40626,0.0015248,0.0015248,0.0015248
38,592.849,1.15468,0.80756,1.12543,0.78997,0.85787,0.88726,0.47816,1.55911,0.90654,1.36022,0.0015116,0.0015116,0.0015116
39,607.928,1.17466,0.77413,1.11073,0.86649,0.87719,0.92331,0.45828,1.60178,0.96536,1.40688,0.0014984,0.0014984,0.0014984
40,621.326,1.18379,0.81613,1.09887,0.82763,0.82456,0.85371,0.47022,1.57407,0.95239,1.39281,0.0014852,0.0014852,0.0014852
41,638.129,1.16987,0.80318,1.108,0.79022,0.85965,0.85769,0.44606,1.5158,0.92191,1.35633,0.001472,0.001472,0.001472
42,653.817,1.20054,0.77812,1.11026,0.89365,0.88455,0.89686,0.43972,1.65035,0.9282,1.34406,0.0014588,0.0014588,0.0014588
43,671.762,1.11497,0.77126,1.09745,0.85307,0.89474,0.9208,0.46446,1.59057,0.86627,1.40756,0.0014456,0.0014456,0.0014456
44,682.272,1.16009,0.78633,1.12435,0.86403,0.89189,0.90765,0.42111,1.61132,0.82611,1.45895,0.0014324,0.0014324,0.0014324
45,697.648,1.14853,0.73419,1.12902,0.81025,0.899,0.90108,0.48116,1.59763,0.86184,1.41451,0.0014192,0.0014192,0.0014192
46,713.665,1.19788,0.77116,1.12068,0.83395,0.88117,0.88644,0.45728,1.66464,0.93866,1.41701,0.001406,0.001406,0.001406
47,728.364,1.13436,0.75697,1.09549,0.85581,0.8331,0.90954,0.49368,1.53157,0.89249,1.32365,0.0013928,0.0013928,0.0013928
48,742.006,1.11048,0.75041,1.08654,0.89496,0.77193,0.88823,0.46195,1.50061,0.85993,1.38701,0.0013796,0.0013796,0.0013796
49,757.194,1.15554,0.74954,1.13817,0.81629,0.85753,0.92688,0.49927,1.41253,0.82194,1.32192,0.0013664,0.0013664,0.0013664
50,771.902,1.1418,0.71398,1.10255,0.84474,0.85965,0.8679,0.45736,1.559,0.94492,1.3685,0.0013532,0.0013532,0.0013532
51,786.056,1.10581,0.72901,1.10057,0.81507,0.85066,0.87384,0.4574,1.61237,0.97033,1.40454,0.00134,0.00134,0.00134
52,799.02,1.09651,0.72182,1.08681,0.8689,0.82456,0.86915,0.46683,1.55887,0.82295,1.37389,0.0013268,0.0013268,0.0013268
53,814.332,1.05238,0.72703,1.07392,0.90257,0.81273,0.89592,0.46649,1.48319,0.85089,1.32925,0.0013136,0.0013136,0.0013136
54,830.533,1.07425,0.66691,1.0644,0.83431,0.79513,0.84036,0.42671,1.63197,0.91251,1.39064,0.0013004,0.0013004,0.0013004
55,845.627,1.08292,0.71046,1.07747,0.88299,0.80702,0.8464,0.42729,1.6414,0.91521,1.34957,0.0012872,0.0012872,0.0012872
56,858.589,1.0734,0.6724,1.0664,0.83637,0.84211,0.86239,0.43932,1.63157,0.92955,1.40934,0.001274,0.001274,0.001274
57,873.438,1.04756,0.66625,1.06155,0.89855,0.84211,0.89883,0.43802,1.62626,0.89515,1.37205,0.0012608,0.0012608,0.0012608
58,887.882,1.05588,0.65894,1.04759,0.8942,0.89474,0.89947,0.48714,1.53332,0.81815,1.38386,0.0012476,0.0012476,0.0012476
59,903.084,1.07015,0.68067,1.07265,0.84269,0.84587,0.83218,0.45711,1.54324,0.87936,1.34342,0.0012344,0.0012344,0.0012344
60,916.789,1.08667,0.69708,1.06088,0.87783,0.89474,0.89178,0.45577,1.54379,0.83284,1.38552,0.0012212,0.0012212,0.0012212
61,934.861,1.01523,0.64869,1.0324,0.88429,0.82456,0.83881,0.44247,1.61081,0.84365,1.42603,0.001208,0.001208,0.001208
62,951.814,0.99012,0.66355,1.02343,0.91632,0.82456,0.87786,0.44321,1.64029,0.78269,1.45773,0.0011948,0.0011948,0.0011948
63,967.307,1.00066,0.65584,1.0327,0.87725,0.82456,0.88659,0.44889,1.62057,0.82452,1.38277,0.0011816,0.0011816,0.0011816
