epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.4714,0.96579,2.13546,0.96855,0.98811,0.95899,0.98622,0.75234,0.87004,1.6975,0.89164,0.000661538,0.000661538,0.000661538
2,76.7401,0.92534,1.26187,0.94264,0.95244,0.94765,0.97132,0.76407,0.79585,1.21787,0.89121,0.00131944,0.00131944,0.00131944
3,113.228,0.91329,1.00942,0.94077,0.98092,0.97318,0.9933,0.7567,0.81825,0.97106,0.89733,0.00196854,0.00196854,0.00196854
4,149.769,0.85686,0.81649,0.91754,0.93131,0.96845,0.9722,0.73854,0.83106,0.84192,0.90235,0.0019604,0.0019604,0.0019604
5,186.547,0.84711,0.72349,0.90683,0.97428,0.95605,0.98119,0.78298,0.72757,0.64605,0.86514,0.0019472,0.0019472,0.0019472
6,223.072,0.78866,0.63561,0.89837,0.9748,0.97608,0.98903,0.77729,0.77613,0.5904,0.87794,0.001934,0.001934,0.001934
7,260.176,0.80384,0.60648,0.90426,0.97292,0.97792,0.99235,0.79068,0.73234,0.57388,0.86176,0.0019208,0.0019208,0.0019208
8,297.247,0.77106,0.57723,0.8919,0.94516,0.97863,0.98348,0.78212,0.77308,0.57724,0.88548,0.0019076,0.0019076,0.0019076
9,333.78,0.74633,0.54672,0.88736,0.98367,0.97792,0.99299,0.81293,0.6916,0.47421,0.85527,0.0018944,0.0018944,0.0018944
10,370.443,0.76075,0.53452,0.89439,1,0.97716,0.99472,0.81775,0.69065,0.44264,0.86151,0.0018812,0.0018812,0.0018812
11,407.402,0.71629,0.53071,0.8804,0.978,0.98164,0.99399,0.80991,0.71825,0.46268,0.85951,0.001868,0.001868,0.001868
12,444.084,0.7281,0.52524,0.88664,0.99302,0.96845,0.99276,0.79301,0.71822,0.47234,0.86343,0.0018548,0.0018548,0.0018548
13,481.054,0.72901,0.52718,0.89134,0.98987,0.96845,0.99211,0.80977,0.67967,0.49548,0.85365,0.0018416,0.0018416,0.0018416
14,517.762,0.71031,0.50868,0.87871,0.99037,0.97358,0.99384,0.82626,0.64654,0.42655,0.84941,0.0018284,0.0018284,0.0018284
15,554.473,0.69323,0.47374,0.88198,0.99019,0.97161,0.99297,0.81332,0.64343,0.43223,0.85463,0.0018152,0.0018152,0.0018152
16,591.151,0.7011,0.46613,0.8788,0.99226,0.98423,0.99435,0.81852,0.65853,0.42784,0.85349,0.001802,0.001802,0.001802
17,627.864,0.67568,0.46463,0.86893,0.99207,0.98423,0.99481,0.83765,0.60786,0.39532,0.83523,0.0017888,0.0017888,0.0017888
18,664.532,0.6672,0.45656,0.86436,0.99284,0.97792,0.99383,0.82532,0.6628,0.41565,0.84263,0.0017756,0.0017756,0.0017756
19,701.386,0.66073,0.44216,0.8555,0.97939,0.99054,0.99173,0.8165,0.66622,0.41424,0.84328,0.0017624,0.0017624,0.0017624
20,738.126,0.66802,0.45249,0.86823,0.97803,0.97792,0.99154,0.83204,0.6212,0.40266,0.83578,0.0017492,0.0017492,0.0017492
